Question,Answer,Context
"How has the role of physics contributed to the development and practice of nuclear medicine, according to the text?","The text emphasizes that physics continues to play an important and ongoing role in providing high-quality, cost-effective, quantitative, reliable, and safe biological assays in living humans through nuclear medicine. Specifically, it highlights the contributions of physics in enabling accurate quantification of radiolabeled tracer concentrations, measuring biological processes, and refining dosimetry models to better characterize radiation exposure and enhance safety in nuclear medicine procedures.","ed 3, Edinburgh, Scotland, 2004, Churchill Livingstone.Sandler MP, Coleman RE, Patton JA, et al, editors: Diag-nostic Nuclear Medicine, ed 4, Baltimore, 2002, Wil-liams & Wilkins.Schiepers C, editor: Diagnostic Nuclear Medicine, ed 2, New York, 2006, Springer.Von Schulthess GK, editor: Molecular Anatomic Imaging: PET-CT and SPECT-CT Integrated Modality Imaging, ed 2, Philadelphia, 2006, Lippincott, Williams and Wilkins.E. THE ROLE OF PHYSICS IN NUCLEAR MEDICINEAlthough the physics underlying nuclear medicine is not changing, the technology for producing radioactive tracers and for obtain-ing images of those tracer distributions most certainly is. We can expect to continue seeing major improvements in nuclear medicine technology, which will come from combining advances in detector and accelerator physics, electronics, signal processing, and computer technology with the underlying physics of nuclear medicine. Methods for accurately quantifying the concentrations of radio labeled tracers physics, electronics, signal processing, and computer technology with the underlying physics of nuclear medicine. Methods for accurately quantifying the concentrations of radio labeled tracers in structures of interest, measuring biologic processes, and then relaying this information to the physician in a clinically meaningful and biologically relevant format are also an important challenge for the future. Renement in the models used in dosimetry will allow better characterization of radiation exposure and make nuclear medicine even safer than it already is. Physics therefore con-tinues to play an important and continuing role in providing high-quality, cost-effective, quantitative, reliable, and safe biologic assays in living humans.REFERENCES 1. Mould RF: A Century of X-Rays and Radioactivity in Medicine, Bristol, 1993, Institute of Physics. 2. de Hevesy G: Radioelements as tracers in physics and chemistry. Chem News 108:166, 1913. 3. de Hevesy G: The absorption and translocation of radioactivity distribution, with a true three-dimensional representa-tion. This allowed the development of PET by Phelps and colleagues10 and SPECT by Kuhl and colleagues11 during the 1970s and marked the start of the modern era of nuclear medicine.D. CURRENT PRACTICE OF NUCLEAR MEDICINENuclear medicine is used for a wide variety of diagnostic tests. There were roughly 100 dif-ferent diagnostic imaging procedures avail-able in 2006.* These procedures use many different radiolabeled compounds, cover all the major organ systems in the body, and provide many different measures of biologic function. Table 1-1 lists some of the more common clinical procedures.As of 2008, more than 30 million nuclear medicine imaging procedures were performed on a global basis. There are more than 20,000 nuclear medicine cameras capable of imaging gamma-ray-emitting radionuclides installed in hospitals across the world. Even many small hospitals have their own nuclear medi-cine clinic. There also were more"
What are the key challenges and future directions for nuclear medicine as discussed in the text?,"The text highlights two major challenges and future directions for nuclear medicine: 1) Developing methods for accurately quantifying the concentrations of radiolabeled tracers in structures of interest within the body, measuring biological processes, and presenting this information in a clinically meaningful and biologically relevant format. 2) Refining the models used in dosimetry to better characterize radiation exposure and further improve the already high safety standards of nuclear medicine.","physics, electronics, signal processing, and computer technology with the underlying physics of nuclear medicine. Methods for accurately quantifying the concentrations of radio labeled tracers in structures of interest, measuring biologic processes, and then relaying this information to the physician in a clinically meaningful and biologically relevant format are also an important challenge for the future. Renement in the models used in dosimetry will allow better characterization of radiation exposure and make nuclear medicine even safer than it already is. Physics therefore con-tinues to play an important and continuing role in providing high-quality, cost-effective, quantitative, reliable, and safe biologic assays in living humans.REFERENCES 1. Mould RF: A Century of X-Rays and Radioactivity in Medicine, Bristol, 1993, Institute of Physics. 2. de Hevesy G: Radioelements as tracers in physics and chemistry. Chem News 108:166, 1913. 3. de Hevesy G: The absorption and translocation of ed 3, Edinburgh, Scotland, 2004, Churchill Livingstone.Sandler MP, Coleman RE, Patton JA, et al, editors: Diag-nostic Nuclear Medicine, ed 4, Baltimore, 2002, Wil-liams & Wilkins.Schiepers C, editor: Diagnostic Nuclear Medicine, ed 2, New York, 2006, Springer.Von Schulthess GK, editor: Molecular Anatomic Imaging: PET-CT and SPECT-CT Integrated Modality Imaging, ed 2, Philadelphia, 2006, Lippincott, Williams and Wilkins.E. THE ROLE OF PHYSICS IN NUCLEAR MEDICINEAlthough the physics underlying nuclear medicine is not changing, the technology for producing radioactive tracers and for obtain-ing images of those tracer distributions most certainly is. We can expect to continue seeing major improvements in nuclear medicine technology, which will come from combining advances in detector and accelerator physics, electronics, signal processing, and computer technology with the underlying physics of nuclear medicine. Methods for accurately quantifying the concentrations of radio labeled tracers 2 Physics in Nuclear Medicineinside the human body noninvasively for the rst time and was particularly useful for the imaging of bone. X rays soon became the method of choice for producing radiographs because images could be obtained more quickly and with better contrast than those provided by radium or other naturally occurring radio-nuclides that were available at that time. Although the eld of diagnostic x-ray imaging rapidly gained acceptance, nuclear medicine had to await further developments.The biologic foundations for nuclear medi-cine were laid down between 1910 and 1945. In 1913, Georg de Hevesy developed the prin-ciples of the tracer approach2 and was the rst to apply them to a biologic system in 1923, studying the absorption and transloca-tion of radioactive lead nitrate in plants.3 The rst human study employing radioactive tracers was probably that of Blumgart and Weiss (1927),4 who injected an aqueous solu-tion of radon intravenously and measured the transit time of the"
"How does the text describe the role of physics in nuclear medicine, particularly concerning technological advancements?","The text emphasizes that physics continues to play an important and ongoing role in providing high-quality, cost-effective, quantitative, reliable, and safe biological assays in living humans through nuclear medicine. It states that major improvements in nuclear medicine technology are expected to come from combining advances in detector and accelerator physics, electronics, signal processing, and computer technology with the underlying physics of nuclear medicine.","physics, electronics, signal processing, and computer technology with the underlying physics of nuclear medicine. Methods for accurately quantifying the concentrations of radio labeled tracers in structures of interest, measuring biologic processes, and then relaying this information to the physician in a clinically meaningful and biologically relevant format are also an important challenge for the future. Renement in the models used in dosimetry will allow better characterization of radiation exposure and make nuclear medicine even safer than it already is. Physics therefore con-tinues to play an important and continuing role in providing high-quality, cost-effective, quantitative, reliable, and safe biologic assays in living humans.REFERENCES 1. Mould RF: A Century of X-Rays and Radioactivity in Medicine, Bristol, 1993, Institute of Physics. 2. de Hevesy G: Radioelements as tracers in physics and chemistry. Chem News 108:166, 1913. 3. de Hevesy G: The absorption and translocation of ed 3, Edinburgh, Scotland, 2004, Churchill Livingstone.Sandler MP, Coleman RE, Patton JA, et al, editors: Diag-nostic Nuclear Medicine, ed 4, Baltimore, 2002, Wil-liams & Wilkins.Schiepers C, editor: Diagnostic Nuclear Medicine, ed 2, New York, 2006, Springer.Von Schulthess GK, editor: Molecular Anatomic Imaging: PET-CT and SPECT-CT Integrated Modality Imaging, ed 2, Philadelphia, 2006, Lippincott, Williams and Wilkins.E. THE ROLE OF PHYSICS IN NUCLEAR MEDICINEAlthough the physics underlying nuclear medicine is not changing, the technology for producing radioactive tracers and for obtain-ing images of those tracer distributions most certainly is. We can expect to continue seeing major improvements in nuclear medicine technology, which will come from combining advances in detector and accelerator physics, electronics, signal processing, and computer technology with the underlying physics of nuclear medicine. Methods for accurately quantifying the concentrations of radio labeled tracers 2 Physics in Nuclear Medicineinside the human body noninvasively for the rst time and was particularly useful for the imaging of bone. X rays soon became the method of choice for producing radiographs because images could be obtained more quickly and with better contrast than those provided by radium or other naturally occurring radio-nuclides that were available at that time. Although the eld of diagnostic x-ray imaging rapidly gained acceptance, nuclear medicine had to await further developments.The biologic foundations for nuclear medi-cine were laid down between 1910 and 1945. In 1913, Georg de Hevesy developed the prin-ciples of the tracer approach2 and was the rst to apply them to a biologic system in 1923, studying the absorption and transloca-tion of radioactive lead nitrate in plants.3 The rst human study employing radioactive tracers was probably that of Blumgart and Weiss (1927),4 who injected an aqueous solu-tion of radon intravenously and measured the transit time of the"
What were the key developments in the early history of nuclear medicine that enabled the use of radioactive tracers for medical studies and imaging?,"The key developments were: 1) The discovery of radioactivity and the use of natural radionuclides as tracers by George de Hevesy in the early 20th century. 2) The invention of the cyclotron by Ernest Lawrence in 1932, which enabled the artificial production of new radionuclides for studying biological processes. 3) The availability of nuclear reactor facilities after World War II, which allowed the production of radioactive isotopes in quantities sufficient for medical applications. 4) The development of instrumentation like the Anger scintillation camera in 1958 and the first positron emission tomography (PET) scanner in 1975, which enabled imaging the distribution of radionuclides in the human body.","in Medicine, Bristol, 1993, Institute of Physics. 2. de Hevesy G: Radioelements as tracers in physics and chemistry. Chem News 108:166, 1913. 3. de Hevesy G: The absorption and translocation of lead by plants: A contribution to the application of the method of radioactive indicators in the investiga-tion of the change of substance in plants. Biochem J 17:439-445, 1923. 4. Blumgart HL, Weiss S: Studies on the velocity of blood ow. J Clin Invest 4:15-31, 1927. 6 Physics in Nuclear Medicine 5. Lawrence EO, Livingston MS: The production of high-speed light ions without the use of high volt-ages. Phys Rev 40:19-30, 1932. 6. Cassen B, Curtis L, Reed C, Libby R: Instrumenta-tion for 131I use in medical studies. Nucleonics 9:46-50, 1951. 7. Anger HO: Scintillation camera. Rev Sci Instr 29:27-33, 1958. 8. Wrenn FR, Good ML, Handler P: The use of positron-emitting radioisotopes for the localization of brain tumors. Science 113:525-527, 1951. 9. Harper PV, Beck R, Charleston D, Lathrop KA: Opti-mization of a scanning method using technetium-99m. Nucleonics 22:50-54, 1964. 10. Phelps ME, Hoffman EJ, Mullani NA, Ter Pogossian MM: Application of annihilation coincidence detec-tion of transaxial reconstruction tomography. J Nucl Med 16:210-215, 1975. 11. Kuhl DE, Edwards RQ, Ricci AR, et al: The Mark IV system for radionuclide computed tomography of the brain. Radiology 121:405-413, 1976.BIBLIOGRAPHYFor further details on the history of nuclear medicine, The rst human study employing radioactive tracers was probably that of Blumgart and Weiss (1927),4 who injected an aqueous solu-tion of radon intravenously and measured the transit time of the blood from one arm to the other using a cloud chamber as the radiation detector. In the 1930s, with the invention of the cyclotron by Lawrence (Fig. 1-1),5 it became possible to articially produce new radionuclides, thereby extending the range of biologic processes that could be studied. Once again, de Hevesy was at the forefront of using these new radionuclides to study biologic pro-cesses in plants and in red blood cells. Finally, at the end of the Second World War, the nuclear reactor facilities that were developed as part of the Manhattan Project started to be used for the production of radioactive isotopes in quantities sufcient for medical applications.The 1950s saw the development of technol-ogy that allowed one to obtain images of the distribution of radionuclides in the human body"
What were the pioneering studies that demonstrated the potential of using radioactive tracers in medical applications?,"The pioneering studies were: 1) The work of Blumgart and Weiss in 1927, who injected an aqueous solution of radon intravenously and used a cloud chamber to measure the transit time of blood from one arm to the other, marking the first human study employing radioactive tracers. 2) The studies by George de Hevesy in the 1920s, where he used radioactive indicators to investigate the absorption and translocation of lead in plants, demonstrating the application of radioactive tracers in studying biological processes. 3) The work of Cassen, Curtis, Reed, and Libby in 1951, who developed instrumentation for using iodine-131 in medical studies, paving the way for nuclear imaging applications.","in Medicine, Bristol, 1993, Institute of Physics. 2. de Hevesy G: Radioelements as tracers in physics and chemistry. Chem News 108:166, 1913. 3. de Hevesy G: The absorption and translocation of lead by plants: A contribution to the application of the method of radioactive indicators in the investiga-tion of the change of substance in plants. Biochem J 17:439-445, 1923. 4. Blumgart HL, Weiss S: Studies on the velocity of blood ow. J Clin Invest 4:15-31, 1927. 6 Physics in Nuclear Medicine 5. Lawrence EO, Livingston MS: The production of high-speed light ions without the use of high volt-ages. Phys Rev 40:19-30, 1932. 6. Cassen B, Curtis L, Reed C, Libby R: Instrumenta-tion for 131I use in medical studies. Nucleonics 9:46-50, 1951. 7. Anger HO: Scintillation camera. Rev Sci Instr 29:27-33, 1958. 8. Wrenn FR, Good ML, Handler P: The use of positron-emitting radioisotopes for the localization of brain tumors. Science 113:525-527, 1951. 9. Harper PV, Beck R, Charleston D, Lathrop KA: Opti-mization of a scanning method using technetium-99m. Nucleonics 22:50-54, 1964. 10. Phelps ME, Hoffman EJ, Mullani NA, Ter Pogossian MM: Application of annihilation coincidence detec-tion of transaxial reconstruction tomography. J Nucl Med 16:210-215, 1975. 11. Kuhl DE, Edwards RQ, Ricci AR, et al: The Mark IV system for radionuclide computed tomography of the brain. Radiology 121:405-413, 1976.BIBLIOGRAPHYFor further details on the history of nuclear medicine, The rst human study employing radioactive tracers was probably that of Blumgart and Weiss (1927),4 who injected an aqueous solu-tion of radon intravenously and measured the transit time of the blood from one arm to the other using a cloud chamber as the radiation detector. In the 1930s, with the invention of the cyclotron by Lawrence (Fig. 1-1),5 it became possible to articially produce new radionuclides, thereby extending the range of biologic processes that could be studied. Once again, de Hevesy was at the forefront of using these new radionuclides to study biologic pro-cesses in plants and in red blood cells. Finally, at the end of the Second World War, the nuclear reactor facilities that were developed as part of the Manhattan Project started to be used for the production of radioactive isotopes in quantities sufcient for medical applications.The 1950s saw the development of technol-ogy that allowed one to obtain images of the distribution of radionuclides in the human body"
"What is the process of internal conversion mentioned in the text, and how is it similar to the Auger effect in x-ray emission?","Internal conversion is a process in which a nucleus, instead of emitting a gamma ray (photon) during a nuclear transition, transfers the energy to an orbital electron, causing the electron to be emitted from the atom. This process is similar to the Auger effect in x-ray emission, where an electron is emitted from an atom after an inner-shell electron vacancy is filled by an outer-shell electron, and the energy difference is transferred to another outer-shell electron, causing its ejection.","2 chapter Basic Atomic and Nuclear PhysicsRadioactivity is a process involving events in individual atoms and nuclei. Before discuss-ing radioactivity, therefore, it is worthwhile to review some of the basic concepts of atomic and nuclear physics.A. QUANTITIES AND UNITS1. Types of Quantities and UnitsPhysical properties and processes are described in terms of quantities such as time and energy. These quantities are measured in units such as seconds and joules. Thus a quantity describes what is measured, whereas a unit describes how much.Physical quantities are characterized as fundamental or derived. A base quantity is one that stands alone; that is, no reference is made to other quantities for its denition. Usually, base quantities and their units are dened with reference to standards kept at national or international laboratories. Time (s or sec), distance (m), and mass (kg) are exam-ples of base quantities. Derived quantities are dened in terms of combinations of base quantities. 2  Basic Atomic and Nuclear Physics15Photons of nuclear origin are called  rays (gamma rays). The energy difference between the states involved in the nuclear transition determines the -ray energy. For example, in Figure 2-8 a transition from the level marked 0.364 MeV to the ground state would produce a 0.364-MeV  ray. A transition from the 0.364-MeV level to the 0.080-MeV level would produce a 0.284-MeV  ray.As an alternative to emitting a  ray, the nucleus may transfer the energy to an orbital electron and emit the electron instead of a photon. This process, which is similar to the Auger effect in x-ray emission (see Section C.3, earlier in this chapter), is called internal conversion. It is discussed in detail in Chapter 3, Section E.6. Nuclear Binding EnergyWhen the mass of an atom is compared with the sum of the masses of its individual com-ponents (protons, neutrons, and electrons), it always is found to be less by some amount, /uni0394 m. This mass deciency, expressed in energy communication, as well as eliminate some of the more irrational units (e.g., feet and pounds). A useful discussion of the SI system, including denitions and values of various units, can be found in refer-ence 1.SI units or their metric subunits (e.g., cen-timeters and grams) are the standard for this text; however, in some instances traditional or other non-SI units are given as well (in parentheses). This is done because some tra-ditional units still are used in the day-to-day practice of nuclear medicine (e.g., units of activity and absorbed dose). In other instances, SI units are unreasonably large (or small) for describing the processes of interest and spe-cially dened units are more convenient and widely used. This is particularly true for units of mass and energy, as discussed in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other"
What is the significance of the mass deficiency or binding energy in the context of atomic nuclei?,"The mass of an atom is always found to be less than the sum of the masses of its individual components (protons, neutrons, and electrons). This mass deficiency, when expressed in terms of energy using Einstein's mass-energy equivalence equation (E = Δmc^2), represents the binding energy that holds the nucleons (protons and neutrons) together in the nucleus. The binding energy is a measure of the stability of the nucleus and plays a crucial role in determining nuclear properties and reactions.","2 chapter Basic Atomic and Nuclear PhysicsRadioactivity is a process involving events in individual atoms and nuclei. Before discuss-ing radioactivity, therefore, it is worthwhile to review some of the basic concepts of atomic and nuclear physics.A. QUANTITIES AND UNITS1. Types of Quantities and UnitsPhysical properties and processes are described in terms of quantities such as time and energy. These quantities are measured in units such as seconds and joules. Thus a quantity describes what is measured, whereas a unit describes how much.Physical quantities are characterized as fundamental or derived. A base quantity is one that stands alone; that is, no reference is made to other quantities for its denition. Usually, base quantities and their units are dened with reference to standards kept at national or international laboratories. Time (s or sec), distance (m), and mass (kg) are exam-ples of base quantities. Derived quantities are dened in terms of combinations of base quantities. 2  Basic Atomic and Nuclear Physics15Photons of nuclear origin are called  rays (gamma rays). The energy difference between the states involved in the nuclear transition determines the -ray energy. For example, in Figure 2-8 a transition from the level marked 0.364 MeV to the ground state would produce a 0.364-MeV  ray. A transition from the 0.364-MeV level to the 0.080-MeV level would produce a 0.284-MeV  ray.As an alternative to emitting a  ray, the nucleus may transfer the energy to an orbital electron and emit the electron instead of a photon. This process, which is similar to the Auger effect in x-ray emission (see Section C.3, earlier in this chapter), is called internal conversion. It is discussed in detail in Chapter 3, Section E.6. Nuclear Binding EnergyWhen the mass of an atom is compared with the sum of the masses of its individual com-ponents (protons, neutrons, and electrons), it always is found to be less by some amount, /uni0394 m. This mass deciency, expressed in energy communication, as well as eliminate some of the more irrational units (e.g., feet and pounds). A useful discussion of the SI system, including denitions and values of various units, can be found in refer-ence 1.SI units or their metric subunits (e.g., cen-timeters and grams) are the standard for this text; however, in some instances traditional or other non-SI units are given as well (in parentheses). This is done because some tra-ditional units still are used in the day-to-day practice of nuclear medicine (e.g., units of activity and absorbed dose). In other instances, SI units are unreasonably large (or small) for describing the processes of interest and spe-cially dened units are more convenient and widely used. This is particularly true for units of mass and energy, as discussed in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other"
"What is the purpose of adopting the International System of Units (SI) in scientific communication, and what are some of the key base quantities relevant to nuclear medicine?","The international scientific community has agreed to adopt the System International (SI) units as the standard for scientific communication to improve communication, eliminate irrational units (e.g., feet and pounds), and establish a consistent system based on seven base quantities. The four base quantities most relevant to nuclear medicine are mass, length, time, and electrical charge.","at national or international laboratories. Time (s or sec), distance (m), and mass (kg) are exam-ples of base quantities. Derived quantities are dened in terms of combinations of base quantities. Energy (kg  m2/sec2) is an example of a derived quantity.The international scientic community has agreed to adopt so-called System Interna-tional (SI) units as the standard for scientic communication. This system is based on seven base quantities in metric units, with all other quantities and units derived by appro-priate denitions from them. The four quanti-ties of mass, length, time and electrical charge are most relevant to nuclear medicine. The use of specially dened quantities (e.g., atmo-spheres of barometric pressure) is speci-cally discouraged. It is hoped that this will improve scientic communication, as well as eliminate some of the more irrational units (e.g., feet and pounds). A useful discussion of the SI system, including denitions and values of various units, can be found in communication, as well as eliminate some of the more irrational units (e.g., feet and pounds). A useful discussion of the SI system, including denitions and values of various units, can be found in refer-ence 1.SI units or their metric subunits (e.g., cen-timeters and grams) are the standard for this text; however, in some instances traditional or other non-SI units are given as well (in parentheses). This is done because some tra-ditional units still are used in the day-to-day practice of nuclear medicine (e.g., units of activity and absorbed dose). In other instances, SI units are unreasonably large (or small) for describing the processes of interest and spe-cially dened units are more convenient and widely used. This is particularly true for units of mass and energy, as discussed in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other conventional units. Therefore they often are described in terms of specially dened units that are more con-venient for the atomic scale.The basic unit of mass is the unied atomic mass unit, abbreviated u. One u is dened as being equal to exactly 112 the mass of an unbound 12C atom* at rest and in its ground state. The conversion from SI mass units to unied atomic mass units is1 11 6 6 0 5 4 1 027ukg=. (2-1)7*Atomic notation is discussed in Section D.2."
"What is the unified atomic mass unit (u), and why is it a more convenient unit for describing atomic-level events like radioactive decay?","The unified atomic mass unit (u) is the basic unit of mass defined as being equal to exactly 1/12 the mass of an unbound 12C atom at rest and in its ground state. Events occurring at the atomic level, such as radioactive decay, involve very small amounts of mass and energy. Therefore, the unified atomic mass unit is a more convenient unit than SI or other conventional units for describing processes at the atomic scale.","at national or international laboratories. Time (s or sec), distance (m), and mass (kg) are exam-ples of base quantities. Derived quantities are dened in terms of combinations of base quantities. Energy (kg  m2/sec2) is an example of a derived quantity.The international scientic community has agreed to adopt so-called System Interna-tional (SI) units as the standard for scientic communication. This system is based on seven base quantities in metric units, with all other quantities and units derived by appro-priate denitions from them. The four quanti-ties of mass, length, time and electrical charge are most relevant to nuclear medicine. The use of specially dened quantities (e.g., atmo-spheres of barometric pressure) is speci-cally discouraged. It is hoped that this will improve scientic communication, as well as eliminate some of the more irrational units (e.g., feet and pounds). A useful discussion of the SI system, including denitions and values of various units, can be found in communication, as well as eliminate some of the more irrational units (e.g., feet and pounds). A useful discussion of the SI system, including denitions and values of various units, can be found in refer-ence 1.SI units or their metric subunits (e.g., cen-timeters and grams) are the standard for this text; however, in some instances traditional or other non-SI units are given as well (in parentheses). This is done because some tra-ditional units still are used in the day-to-day practice of nuclear medicine (e.g., units of activity and absorbed dose). In other instances, SI units are unreasonably large (or small) for describing the processes of interest and spe-cially dened units are more convenient and widely used. This is particularly true for units of mass and energy, as discussed in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other conventional units. Therefore they often are described in terms of specially dened units that are more con-venient for the atomic scale.The basic unit of mass is the unied atomic mass unit, abbreviated u. One u is dened as being equal to exactly 112 the mass of an unbound 12C atom* at rest and in its ground state. The conversion from SI mass units to unied atomic mass units is1 11 6 6 0 5 4 1 027ukg=. (2-1)7*Atomic notation is discussed in Section D.2."
"What is the purpose of adopting the System International (SI) units as the standard for scientific communication, and what are the advantages of this approach?","The purpose of adopting the System International (SI) units as the standard for scientific communication is to improve scientific communication and eliminate more irrational units (e.g., feet and pounds). The advantages of this approach include promoting consistency, clarity, and rationality in scientific measurements and calculations across different fields and regions, as well as facilitating easier conversion and comparison between different units.","communication, as well as eliminate some of the more irrational units (e.g., feet and pounds). A useful discussion of the SI system, including denitions and values of various units, can be found in refer-ence 1.SI units or their metric subunits (e.g., cen-timeters and grams) are the standard for this text; however, in some instances traditional or other non-SI units are given as well (in parentheses). This is done because some tra-ditional units still are used in the day-to-day practice of nuclear medicine (e.g., units of activity and absorbed dose). In other instances, SI units are unreasonably large (or small) for describing the processes of interest and spe-cially dened units are more convenient and widely used. This is particularly true for units of mass and energy, as discussed in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other at national or international laboratories. Time (s or sec), distance (m), and mass (kg) are exam-ples of base quantities. Derived quantities are dened in terms of combinations of base quantities. Energy (kg  m2/sec2) is an example of a derived quantity.The international scientic community has agreed to adopt so-called System Interna-tional (SI) units as the standard for scientic communication. This system is based on seven base quantities in metric units, with all other quantities and units derived by appro-priate denitions from them. The four quanti-ties of mass, length, time and electrical charge are most relevant to nuclear medicine. The use of specially dened quantities (e.g., atmo-spheres of barometric pressure) is speci-cally discouraged. It is hoped that this will improve scientic communication, as well as eliminate some of the more irrational units (e.g., feet and pounds). A useful discussion of the SI system, including denitions and values of various units, can be found in in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other conventional units. Therefore they often are described in terms of specially dened units that are more con-venient for the atomic scale.The basic unit of mass is the unied atomic mass unit, abbreviated u. One u is dened as being equal to exactly 112 the mass of an unbound 12C atom* at rest and in its ground state. The conversion from SI mass units to unied atomic mass units is1 11 6 6 0 5 4 1 027ukg=. (2-1)7*Atomic notation is discussed in Section D.2."
"Why are specially defined units often used to describe events occurring at the atomic level, such as radioactive decay, instead of conventional SI units?","Events occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in conventional SI units or other traditional units. Therefore, specially defined units, like the unified atomic mass unit (u) for mass, are more convenient and widely used for describing processes at the atomic scale. These specialized units provide a more practical and appropriate scale for measuring and expressing the extremely small quantities involved in atomic-level phenomena.","communication, as well as eliminate some of the more irrational units (e.g., feet and pounds). A useful discussion of the SI system, including denitions and values of various units, can be found in refer-ence 1.SI units or their metric subunits (e.g., cen-timeters and grams) are the standard for this text; however, in some instances traditional or other non-SI units are given as well (in parentheses). This is done because some tra-ditional units still are used in the day-to-day practice of nuclear medicine (e.g., units of activity and absorbed dose). In other instances, SI units are unreasonably large (or small) for describing the processes of interest and spe-cially dened units are more convenient and widely used. This is particularly true for units of mass and energy, as discussed in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other at national or international laboratories. Time (s or sec), distance (m), and mass (kg) are exam-ples of base quantities. Derived quantities are dened in terms of combinations of base quantities. Energy (kg  m2/sec2) is an example of a derived quantity.The international scientic community has agreed to adopt so-called System Interna-tional (SI) units as the standard for scientic communication. This system is based on seven base quantities in metric units, with all other quantities and units derived by appro-priate denitions from them. The four quanti-ties of mass, length, time and electrical charge are most relevant to nuclear medicine. The use of specially dened quantities (e.g., atmo-spheres of barometric pressure) is speci-cally discouraged. It is hoped that this will improve scientic communication, as well as eliminate some of the more irrational units (e.g., feet and pounds). A useful discussion of the SI system, including denitions and values of various units, can be found in in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other conventional units. Therefore they often are described in terms of specially dened units that are more con-venient for the atomic scale.The basic unit of mass is the unied atomic mass unit, abbreviated u. One u is dened as being equal to exactly 112 the mass of an unbound 12C atom* at rest and in its ground state. The conversion from SI mass units to unied atomic mass units is1 11 6 6 0 5 4 1 027ukg=. (2-1)7*Atomic notation is discussed in Section D.2."
What is the unified atomic mass unit (u) and how is it defined?,The unified atomic mass unit (u) is the basic unit of mass used to describe atomic-level events and processes. It is defined as being equal to exactly 1/12 the mass of an unbound carbon-12 (12C) atom at rest and in its ground state.,"in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other conventional units. Therefore they often are described in terms of specially dened units that are more con-venient for the atomic scale.The basic unit of mass is the unied atomic mass unit, abbreviated u. One u is dened as being equal to exactly 112 the mass of an unbound 12C atom* at rest and in its ground state. The conversion from SI mass units to unied atomic mass units is1 11 6 6 0 5 4 1 027ukg=. (2-1)7*Atomic notation is discussed in Section D.2. communication, as well as eliminate some of the more irrational units (e.g., feet and pounds). A useful discussion of the SI system, including denitions and values of various units, can be found in refer-ence 1.SI units or their metric subunits (e.g., cen-timeters and grams) are the standard for this text; however, in some instances traditional or other non-SI units are given as well (in parentheses). This is done because some tra-ditional units still are used in the day-to-day practice of nuclear medicine (e.g., units of activity and absorbed dose). In other instances, SI units are unreasonably large (or small) for describing the processes of interest and spe-cially dened units are more convenient and widely used. This is particularly true for units of mass and energy, as discussed in the fol-lowing section.2. Mass and Energy UnitsEvents occurring at the atomic level, such as radioactive decay, involve amounts of mass and energy that are very small when described in SI or other 1 u of mass is equivalent to 931.5 MeV of energy.Relationships between various units of mass and energy are summarized in Appen-dix A. Universal mass units and electron volts are very small, yet, as we shall see, they are quite appropriate to the atomic scale.B. RADIATIONThe term radiation refers to energy in transit. In nuclear medicine, we are inter-ested principally in the following two specic forms of radiation:1. Particulate radiation, consisting of atomic or subatomic particles (electrons, protons, etc.) that carry energy in the form of kinetic energy of mass in motion. FIGURE 2-1 Schematic representation of the different regions of the electromagnetic spectrum. Vis, visible light; UV, ultraviolet light. 101 1 02 1 03104 1 05 1 06 1 07108109101010111012 1 01310 1MicrowaveInfraredVisUV x raysGamma raysRadioWavelength (m) 109101010111012101310141015101610171018101910201021108Frequency (Hz)"
